station,date,air_temperature_celcius,relative_humidity,wind_speed_knots
2002-022A,2009-01-01,19,56.8,7.9
2002-022A,2009-01-02,15,50.7,9.2
2002-022A,2009-01-03,16,53.6,8.1
2002-022A,2009-01-04,24,61.6,7.7
2002-022A,2009-01-05,24,62.3,7
2002-022A,2009-01-06,26,60.8,6.9
2002-022A,2009-01-07,32,54.1,12.8
2002-022A,2009-01-08,20,57.7,9.9
2002-022A,2009-01-09,19,56.3,5.8
2002-022A,2009-01-10,20,57,8.7
2002-022A,2009-01-11,18,53.3,7.9
2002-022A,2009-01-12,22,56.3,8
2002-022A,2009-01-13,19,54.1,11.2
2002-022A,2009-01-14,17,50.4,11.9
2002-022A,2009-01-15,16,50.8,5.8
2002-022A,2009-01-16,24,55.4,5.9
2002-022A,2009-01-17,24,53.4,9.9
2002-022A,2009-01-18,16,46.7,10
2002-022A,2009-01-19,19,57.2,8.9
2002-022A,2009-01-20,16,50.9,12.9
2002-022A,2009-01-21,17,52.5,6.7
2002-022A,2009-01-22,23,59,6
2002-022A,2009-01-23,25,58.3,12.2
2002-022A,2009-01-24,16,48.2,9.9
2002-022A,2009-01-25,17,50.8,9
2002-022A,2009-01-26,18,53.5,8.8
2002-022A,2009-01-27,19,56.1,6.9
2002-022A,2009-01-28,18,57,7.4
2002-022A,2009-01-29,22,58,6.9
2002-022A,2009-01-30,20,55.8,10.5
2002-022A,2009-01-31,16,48.4,8.1
2002-022A,2009-02-01,16,48.9,5.4
2002-022A,2009-02-02,18,53,6.6
2002-022A,2009-02-03,18,54.4,5.7
2002-022A,2009-02-04,26,53.7,8.7
2002-022A,2009-02-05,21,64.5,10.6
2002-022A,2009-02-06,16,48.1,9.3
2002-022A,2009-02-07,20,57.4,10.9
2002-022A,2009-02-08,31,61.9,14.1
2002-022A,2009-02-09,22,62.7,7.6
2002-022A,2009-02-10,21,60.4,6.8
2002-022A,2009-02-11,19,53.8,9.2
2002-022A,2009-02-12,16,48.3,14.4
2002-022A,2009-02-13,16,53.6,12.1
2002-022A,2009-02-14,14,48.5,7.3
2002-022A,2009-02-15,22,53.4,10.9
2002-022A,2009-02-16,18,53.6,7.2
2002-022A,2009-02-17,18,49.4,9.3
2002-022A,2009-02-18,15,44.6,9.7
2002-022A,2009-02-19,13,48.5,10.7
2002-022A,2009-02-20,15,49.1,9.6
2002-022A,2009-02-21,16,51,6
2002-022A,2009-02-22,23,49.6,10
2002-022A,2009-02-23,18,55.5,8.9
2002-022A,2009-02-24,16,48.3,9.4
2002-022A,2009-02-25,17,52.6,10.3
2002-022A,2009-02-26,21,54.9,7.4
2002-022A,2009-02-27,24,55.6,5.9
2002-022A,2009-02-28,23,54.1,5.7
2002-022A,2009-03-01,21,57.3,5.4
2002-022A,2009-03-02,20,62.6,10.1
2002-022A,2009-03-03,21,59.5,12.4
2002-022A,2009-03-04,22,62,7.9
2002-022A,2009-03-05,20,58.8,11.5
2002-022A,2009-03-06,20,52.9,17
2002-022A,2009-03-07,19,51.5,10.2
2002-022A,2009-03-08,21,51.7,7.2
2002-022A,2009-03-09,23,53.4,6.1
2002-022A,2009-03-10,19,60.2,6.4
2002-022A,2009-03-11,20,59.7,8.6
2002-022A,2009-03-12,21,58.1,5.3
2002-022A,2009-03-13,20,62.2,7.1
2002-022A,2009-03-14,25,58.3,7.1
2002-022A,2009-03-15,28,58.4,11.9
2002-022A,2009-03-16,18,53.3,10.8
2002-022A,2009-03-17,18,51.1,8.1
2002-022A,2009-03-18,21,52.8,4.1
2002-022A,2009-03-19,24,55.2,5.8
2002-022A,2009-03-20,23,63.8,7.1
2002-022A,2009-03-21,20,67.4,8.5
2002-022A,2009-03-22,18,57.5,16.1
2002-022A,2009-03-23,18,55.6,12.8
2002-022A,2009-03-24,20,58.4,6.1
2002-022A,2009-03-25,23,61.9,8
2002-022A,2009-03-26,23,60.6,10.1
2002-022A,2009-03-27,17,53.4,9.4
2002-022A,2009-03-28,18,50.6,6
2002-022A,2009-03-29,17,49.9,12.2
2002-022A,2009-03-30,13,47,7.9
2002-022A,2009-03-31,14,45.8,6.5
2002-022A,2009-04-01,14,45.7,9.2
2002-022A,2009-04-02,12,43.4,9.3
2002-022A,2009-04-03,15,47.7,5.9
2002-022A,2009-04-04,16,47.5,5.4
2002-022A,2009-04-05,17,47.2,4.9
2002-022A,2009-04-06,19,44.2,7.8
2002-022A,2009-04-07,21,47,13.2
2002-022A,2009-04-08,19,52.8,12.5
2002-022A,2009-04-09,11,48.2,10.8
