latitude,longitude,air_temperature_celcius,relative_humidity,wind_speed_knots
-36.704,144.252,19,56.8,7.9
-36.748,145.486,15,50.7,9.2
-36.216,146.388,16,53.6,8.1
-36.218,146.377,24,61.6,7.7
-37.232,143.252,24,62.3,7
-36.822,143.854,26,60.8,6.9
-36.821,143.865,32,54.1,12.8
-36.812,143.863,20,57.7,9.9
-36.819,143.877,19,56.3,5.8
-36.813,143.852,20,57,8.7
-37.63,144.265,18,53.3,7.9
-36.136,143.644,22,56.3,8
-36.132,143.626,19,54.1,11.2
-36.132,143.626,17,50.4,11.9
-37.473,143.352,16,50.8,5.8
-36.137,143.599,24,55.4,5.9
-36.136,143.588,24,53.4,9.9
-36.143,143.596,16,46.7,10
-36.549,141.157,19,57.2,8.9
-36.557,141.171,16,50.9,12.9
-36.548,141.169,17,52.5,6.7
-37.288,143.139,23,59,6
-37.593,148.096,25,58.3,12.2
-37.591,148.111,16,48.2,9.9
-37.13,141.125,17,50.8,9
-37.139,141.128,18,53.5,8.8
-37.657,141.292,19,56.1,6.9
-37.38,142.123,18,57,7.4
-37.532,143.459,22,58,6.9
-36.167,143.618,20,55.8,10.5
-37.337,141.473,16,48.4,8.1
-35.474,143.759,16,48.9,5.4
-37.603,142.519,18,53,6.6
-37.381,142.12,18,54.4,5.7
-37.383,142.103,26,53.7,8.7
-37.385,142.124,21,64.5,10.6
-38.419,147.057,16,48.1,9.3
-38.417,147.045,20,57.4,10.9
-38.41,147.059,31,61.9,14.1
-38.408,147.047,22,62.7,7.6
-35.027,141.415,21,60.4,6.8
-35.03,141.267,19,53.8,9.2
-37.594,142.522,16,48.3,14.4
-37.604,142.525,16,53.6,12.1
-38.422,147.07,14,48.5,7.3
-38.42,147.055,22,53.4,10.9
-38.111,146.34,18,53.6,7.2
-38.128,146.369,18,49.4,9.3
-37.831,141.603,15,44.6,9.7
-37.834,141.625,13,48.5,10.7
-37.839,141.592,15,49.1,9.6
-37.841,141.632,16,51,6
-37.836,141.596,23,49.6,10
-37.808,141.687,18,55.5,8.9
-37.805,141.703,16,48.3,9.4
-37.83,141.586,17,52.6,10.3
-37.559,141.116,21,54.9,7.4
-37.23,141.012,24,55.6,5.9
-37.818,141.565,23,54.1,5.7
-36.554,141.322,21,57.3,5.4
-37.399,142.654,20,62.6,10.1
-37.407,141.405,21,59.5,12.4
-37.409,141.388,22,62,7.9
-38.418,147.032,20,58.8,11.5
-38.416,147.045,20,52.9,17
-37.408,141.381,19,51.5,10.2
-37.402,141.405,21,51.7,7.2
-37.417,141.39,23,53.4,6.1
-37.534,141.156,19,60.2,6.4
-37.545,141.16,20,59.7,8.6
-37.847,141.403,21,58.1,5.3
-37.405,141.38,20,62.2,7.1
-37.406,141.391,25,58.3,7.1
-37.396,141.382,28,58.4,11.9
-38.418,147.041,18,53.3,10.8
-38.419,147.029,18,51.1,8.1
-38.417,147.042,21,52.8,4.1
-37.607,142.499,24,55.2,5.8
-37.457,141.591,23,63.8,7.1
-37.885,147.505,20,67.4,8.5
-37.887,147.517,18,57.5,16.1
-34.63,142.839,18,55.6,12.8
-36.462,141.426,20,58.4,6.1
-37.455,141.751,23,61.9,8
-37.379,142.123,23,60.6,10.1
-37.452,141.765,17,53.4,9.4
-37.965,144.635,18,50.6,6
-37.378,142.125,17,49.9,12.2
-37.471,142.765,13,47,7.9
-37.937,144.642,14,45.8,6.5
-36.508,146.85,14,45.7,9.2
-37.25,141.294,12,43.4,9.3
-37.253,141.301,15,47.7,5.9
-37.061,146.041,16,47.5,5.4
-34.718,142.927,17,47.2,4.9
-34.717,142.938,19,44.2,7.8
-37.89,141.652,21,47,13.2
-37.888,141.659,19,52.8,12.5
-34.719,142.932,11,48.2,10.8
-36.373,144.785,14,50.4,12.8
-35.042,141.846,14,52.5,7
-37.374,142.123,14,52.4,6.7
-37.571,142.473,16,54.9,5.9
-37.562,142.475,13,48.5,5.3
-37.373,142.125,12,44,4.7
-37.72,143.3,15,49.3,3.6
-34.844,142.332,13,51.4,4.6
-35.04,141.791,15,56.1,5.1
-35.88,141.261,22,52.8,9.1
-36.027,143.768,20,53.5,7.2
-36.451,144.242,17,58.1,11.7
-36.415,146.621,18,58.9,5.5
-37.238,142.499,17,59.3,4.2
-37.24,142.484,19,60.5,7
-37.407,141.24,14,52.8,9.3
