latitude,longitude,power,confidence,surface_temperature_celcius
-36.704,144.252,89.5,90,66
-36.748,145.486,21,99,46
-36.216,146.388,19.9,81,59
-36.218,146.377,22.5,83,60
-37.232,143.252,30.5,80,55
-36.822,143.854,22,83,59
-36.821,143.865,215.2,100,122
-36.812,143.863,94,100,93
-36.819,143.877,55.3,95,78
-36.813,143.852,36.2,90,69
-37.63,144.265,20.6,83,52
-36.136,143.644,37.6,82,55
-36.132,143.626,48.7,85,59
-36.132,143.626,19.4,82,58
-37.473,143.352,16.6,80,47
-36.137,143.599,17.7,81,51
-36.136,143.588,23.4,84,56
-36.143,143.596,20.8,84,56
-36.549,141.157,31.7,89,64
-36.557,141.171,19,83,55
-36.548,141.169,17.6,82,54
-37.288,143.139,25,84,55
-37.593,148.096,22.6,80,48
-37.591,148.111,37.4,86,57
-37.13,141.125,34.8,87,60
-37.139,141.128,47.8,91,66
-37.657,141.292,45.1,90,65
-37.38,142.123,18.3,81,48
-37.532,143.459,26.5,85,54
-36.167,143.618,28.2,82,51
-37.337,141.473,87.7,98,82
-35.474,143.759,50,88,63
-37.603,142.519,36.1,80,47
-37.381,142.12,88.3,93,69
-37.383,142.103,38.6,82,50
-37.385,142.124,29.9,82,50
-38.419,147.057,38.1,89,62
-38.417,147.045,65.2,96,76
-38.41,147.059,24.9,84,52
-38.408,147.047,41.4,90,64
-35.027,141.415,16.5,80,49
-35.03,141.267,17.9,82,51
-37.594,142.522,27.6,94,44
-37.604,142.525,29.5,96,45
-38.422,147.07,49.7,88,59
-38.42,147.055,144.4,100,90
-38.111,146.34,184.4,91,65
-38.128,146.369,210.7,92,68
-37.831,141.603,126.5,88,59
-37.834,141.625,223.7,89,62
-37.839,141.592,153.1,84,53
-37.841,141.632,153.9,84,53
-37.836,141.596,181,100,95
-37.808,141.687,33.5,81,48
-37.805,141.703,131.1,98,84
-37.83,141.586,26.1,84,53
-37.559,141.116,140.8,100,103
-37.23,141.012,22.1,81,48
-37.818,141.565,26.6,80,48
-36.554,141.322,153.5,86,57
-37.399,142.654,124.1,99,84
-37.407,141.405,159.2,94,73
-37.409,141.388,73.4,84,53
-38.418,147.032,45.7,91,65
-38.416,147.045,65.2,95,74
-37.408,141.381,186.1,100,87
-37.402,141.405,209.1,100,91
-37.417,141.39,52.9,84,53
-37.534,141.156,83.9,91,65
-37.545,141.16,109.1,89,73
-37.847,141.403,43.4,90,63
-37.405,141.38,171.7,100,108
-37.406,141.391,29.7,85,55
-37.396,141.382,46.5,91,66
-38.418,147.041,122.9,100,98
-38.419,147.029,116.4,100,96
-38.417,147.042,34.1,84,53
-37.607,142.499,60.4,93,70
-37.457,141.591,35.8,85,55
-37.885,147.505,84.6,98,84
-37.887,147.517,29.6,85,55
-34.63,142.839,50,80,48
-36.462,141.426,26.6,82,49
-37.455,141.751,88.8,97,79
-37.379,142.123,71.6,93,70
-37.452,141.765,46.6,89,61
-37.965,144.635,56.4,85,54
-37.378,142.125,51.9,93,70
-37.471,142.765,25.6,80,48
-37.937,144.642,44.3,91,66
-36.508,146.85,22.5,95,44
-37.25,141.294,76.8,80,47
-37.253,141.301,93.6,84,53
-37.061,146.041,19.3,80,47
-34.718,142.927,25.5,84,53
-34.717,142.938,39.9,90,64
-37.89,141.652,73,84,53
-37.888,141.659,58.7,81,48
-34.719,142.932,25.8,100,50
-36.373,144.785,59.9,92,66
-35.042,141.846,121.4,87,68
-37.374,142.123,64.4,85,54
-37.571,142.473,101.1,99,87
-37.562,142.475,47.9,91,66
-37.373,142.125,84.5,98,82
-37.72,143.3,26.4,87,40
-34.844,142.332,21.4,80,51
-35.04,141.791,57.8,92,70
-35.88,141.261,39.4,85,55
-36.027,143.768,21.2,83,52
-36.451,144.242,20.6,82,50
-36.415,146.621,25.8,85,54
-37.238,142.499,60.3,92,68
-37.24,142.484,34.2,85,54
-37.407,141.24,57.1,89,62
-37.404,141.272,40.6,85,54
-37.393,141.27,115.4,98,81
-37.406,141.256,110.2,97,80
-37.397,141.239,149.4,100,89
-37.366,142.441,28.6,82,50
-37.424,145.114,51.6,93,70
-37.426,145.102,55.8,94,73
-37.701,143.31,38.8,89,61
-37.709,143.325,48,91,66
-37.21,148.819,44.5,89,61
-37.208,148.832,48.1,90,63
-38.184,141.995,71.2,93,71
-38.194,141.997,33.6,83,51
-37.947,144.127,31,87,57
-38.187,141.989,181.4,100,99
-38.187,141.965,37.4,86,55
-38.189,141.974,123.7,99,86
-37.941,144.619,23.6,84,53
-37.838,145.702,174.3,100,111
-37.836,145.713,45.2,92,68
-37.731,147.53,18.7,80,47
-37.635,148.486,35.3,87,58
-38.38,146.675,30.1,87,57
-37.426,141.393,81.5,81,48
-38.38,146.674,43.1,87,58
-36.407,146.616,51.2,88,59
-36.41,146.631,43.3,86,55
-37.464,141.303,95.5,85,54
-38.229,146.956,81.8,80,48
-38.171,146.928,115.4,84,53
-38.169,146.923,232.2,93,69
-37.751,141.768,56.2,88,59
-38.156,146.93,153.6,88,59
-37.459,141.278,52.7,88,60
-37.653,148.313,18.8,82,38
-37.663,148.321,20.9,87,40
-34.72,142.94,22.6,85,54
-37.94,141.043,66.6,95,76
-37.938,141.056,60.4,93,73
-38.393,146.766,131.8,94,101
-38.391,146.755,49.9,88,71
-35.074,141.802,73,96,78
-36.38,144.753,208.5,100,97
-37.292,143.151,73.8,95,74
-37.508,142.362,25.8,84,55
-37.49,142.358,23.1,84,52
