latitude,longitude,datetime,power,confidence,surface_temperature_celcius
-36.704,144.252,2019-10-29T00:57:13,89.5,90,66
-36.748,145.486,2019-10-27T13:11:14,21,99,46
-36.216,146.388,2019-10-23T04:11:00,19.9,81,59
-36.218,146.377,2019-10-23T04:11:00,22.5,83,60
-37.232,143.252,2019-10-23T04:10:50,30.5,80,55
-36.822,143.854,2019-10-21T04:23:11,22,83,59
-36.821,143.865,2019-10-21T04:23:11,215.2,100,122
-36.812,143.863,2019-10-21T04:23:11,94,100,93
-36.819,143.877,2019-10-21T04:23:11,55.3,95,78
-36.813,143.852,2019-10-21T04:23:11,36.2,90,69
-37.63,144.265,2019-10-21T04:22:57,20.6,83,52
-36.136,143.644,2019-10-21T00:08:08,37.6,82,55
-36.132,143.626,2019-10-21T00:08:08,48.7,85,59
-36.132,143.626,2019-10-14T04:17:16,19.4,82,58
-37.473,143.352,2019-10-12T04:29:09,16.6,80,47
-36.137,143.599,2019-10-10T00:26:29,17.7,81,51
-36.136,143.588,2019-10-10T00:26:29,23.4,84,56
-36.143,143.596,2019-10-05T04:23:23,20.8,84,56
-36.549,141.157,2019-10-03T04:35:36,31.7,89,64
-36.557,141.171,2019-10-03T04:35:36,19,83,55
-36.548,141.169,2019-10-03T04:35:36,17.6,82,54
-37.288,143.139,2019-10-03T04:35:20,25,84,55
-37.593,148.096,2019-10-02T03:52:12,22.6,80,48
-37.591,148.111,2019-10-02T03:52:12,37.4,86,57
-37.13,141.125,2019-10-01T04:47:41,34.8,87,60
-37.139,141.128,2019-10-01T04:47:40,47.8,91,66
-37.657,141.292,2019-10-01T04:47:32,45.1,90,65
-37.38,142.123,2019-10-01T00:33:01,18.3,81,48
-37.532,143.459,2019-10-01T00:33:00,26.5,85,54
-36.167,143.618,2019-09-26T00:14:17,28.2,82,51
-37.337,141.473,2019-09-19T04:23:04,87.7,98,82
-35.474,143.759,2019-09-14T04:05:03,50,88,63
-37.603,142.519,2019-09-11T00:57:34,36.1,80,47
-37.381,142.12,2019-09-05T04:10:44,88.3,93,69
-37.383,142.103,2019-09-05T04:10:44,38.6,82,50
-37.385,142.124,2019-09-04T00:51:26,29.9,82,50
-38.419,147.057,2019-09-03T00:08:41,38.1,89,62
-38.417,147.045,2019-09-03T00:08:41,65.2,96,76
-38.41,147.059,2019-09-03T00:08:41,24.9,84,52
-38.408,147.047,2019-09-03T00:08:41,41.4,90,64
-35.027,141.415,2019-09-01T04:35:54,16.5,80,49
-35.03,141.267,2019-09-01T04:35:54,17.9,82,51
-37.594,142.522,2019-08-27T13:41:56,27.6,94,44
-37.604,142.525,2019-08-27T13:41:56,29.5,96,45
-38.422,147.07,2019-07-29T00:33:20,49.7,88,59
-38.42,147.055,2019-07-29T00:33:20,144.4,100,90
-38.111,146.34,2019-07-25T00:57:51,184.4,91,65
-38.128,146.369,2019-07-25T00:57:51,210.7,92,68
-37.831,141.603,2019-07-05T03:58:27,126.5,88,59
-37.834,141.625,2019-07-05T01:22:31,223.7,89,62
-37.839,141.592,2019-07-05T01:22:30,153.1,84,53
-37.841,141.632,2019-07-05T01:22:30,153.9,84,53
-37.836,141.596,2019-07-04T04:53:37,181,100,95
-37.808,141.687,2019-07-04T04:53:37,33.5,81,48
-37.805,141.703,2019-07-04T04:53:37,131.1,98,84
-37.83,141.586,2019-07-04T00:39:54,26.1,84,53
-37.559,141.116,2019-07-04T00:39:51,140.8,100,103
-37.23,141.012,2019-07-04T00:39:46,22.1,81,48
-37.818,141.565,2019-07-01T04:23:03,26.6,80,48
-36.554,141.322,2019-06-28T03:52:41,153.5,86,57
-37.399,142.654,2019-06-27T04:47:36,124.1,99,84
-37.407,141.405,2019-06-26T04:04:46,159.2,94,73
-37.409,141.388,2019-06-26T04:04:45,73.4,84,53
-38.418,147.032,2019-06-26T04:04:20,45.7,91,65
-38.416,147.045,2019-06-26T04:04:20,65.2,95,74
-37.408,141.381,2019-06-25T04:59:53,186.1,100,87
-37.402,141.405,2019-06-25T04:59:52,209.1,100,91
-37.417,141.39,2019-06-25T04:59:52,52.9,84,53
-37.534,141.156,2019-06-25T04:59:51,83.9,91,65
-37.545,141.16,2019-06-25T04:59:51,109.1,89,73
-37.847,141.403,2019-06-25T00:45:44,43.4,90,63
-37.405,141.38,2019-06-25T00:45:37,171.7,100,108
-37.406,141.391,2019-06-25T00:45:37,29.7,85,55
-37.396,141.382,2019-06-25T00:45:36,46.5,91,66
-38.418,147.041,2019-06-24T04:16:35,122.9,100,98
-38.419,147.029,2019-06-24T04:16:35,116.4,100,96
-38.417,147.042,2019-06-24T00:02:50,34.1,84,53
-37.607,142.499,2019-06-20T04:41:28,60.4,93,70
-37.457,141.591,2019-06-20T00:27:20,35.8,85,55
-37.885,147.505,2019-06-15T00:08:51,84.6,98,84
-37.887,147.517,2019-06-15T00:08:51,29.6,85,55
-34.63,142.839,2019-06-14T01:03:18,50,80,48
-36.462,141.426,2019-06-11T04:47:58,26.6,82,49
-37.455,141.751,2019-06-11T04:47:42,88.8,97,79
-37.379,142.123,2019-06-11T04:47:42,71.6,93,70
-37.452,141.765,2019-06-11T04:47:42,46.6,89,61
-37.965,144.635,2019-06-11T04:47:25,56.4,85,54
-37.378,142.125,2019-06-11T00:33:29,51.9,93,70
-37.471,142.765,2019-06-08T04:17:04,25.6,80,48
-37.937,144.642,2019-06-08T04:16:53,44.3,91,66
-36.508,146.85,2019-06-07T12:59:29,22.5,95,44
-37.25,141.294,2019-06-07T05:12:11,76.8,80,47
-37.253,141.301,2019-06-07T05:12:10,93.6,84,53
-37.061,146.041,2019-06-01T04:10:58,19.3,80,47
-34.718,142.927,2019-05-30T04:23:57,25.5,84,53
-34.717,142.938,2019-05-30T04:23:57,39.9,90,64
-37.89,141.652,2019-05-30T00:09:15,73,84,53
-37.888,141.659,2019-05-30T00:09:14,58.7,81,48
-34.719,142.932,2019-05-27T13:18:32,25.8,100,50
-36.373,144.785,2019-05-25T04:05:05,59.9,92,66
